"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","UC Davis",67.8794,184,66.999,181,99.4564,231,98.2681,266,98.2729,88,102.102,156,-3.83361,217
"2022","UC Irvine",65.0413,325,65.0871,277,98.1804,257,99.7171,244,94.5037,30,96.1916,52,3.52549,129
"2022","UC Riverside",65.2891,317,65.1773,272,98.7526,250,100.746,222,97.1728,64,100.918,131,-0.17223,170
"2022","UC San Diego",67.9191,182,67.7485,124,100.222,211,101.94,196,105.403,263,109.561,294,-7.62054,255
"2022","UC Santa Barbara",65.7824,295,65.4853,261,106.038,84,105.509,128,97.2587,66,102.034,153,3.47527,132
"2022","UCF",68.0564,175,67.2657,159,102.117,174,106.547,106,99.6575,125,100.552,126,5.99511,105
"2022","UCLA",67.1833,231,65.5174,258,111.821,20,116.097,14,94.6157,31,91.1885,12,24.9083,8
"2022","UMass Lowell",67.5685,202,67.312,154,99.2249,238,96.3079,301,99.5959,121,103.154,180,-6.84612,249
"2022","UMBC",68.4703,158,68.1892,108,106.45,75,103.95,160,106.173,270,110.086,303,-6.13649,242
"2022","UMKC",68.5278,153,67.2474,161,103.285,150,100.368,228,103.393,221,103.419,185,-3.05075,206
"2022","UNC Asheville",67.6559,200,66.3796,213,102.415,170,101.366,208,101.913,183,105.336,222,-3.97029,220
"2022","UNC Greensboro",63.0667,350,62.1039,349,100.964,201,100.403,226,101.794,179,100.719,128,-0.315948,173
"2022","UNC Wilmington",66.3025,272,65.2282,269,103.394,146,102.795,184,101.549,169,103.424,186,-0.628538,178
"2022","UNLV",66.5992,264,66.1435,224,103.566,144,107.916,84,99.4704,117,98.6308,93,9.28526,90
"2022","USC",67.4471,214,65.9957,237,106.564,72,110.509,46,96.9625,63,95.9831,49,14.5262,42
"2022","USC Upstate",69.4296,97,68.5184,94,100.342,208,101.569,200,107.289,288,110.088,304,-8.51872,270
"2022","UT Arlington",65.9911,281,65.0172,283,94.4334,317,98.1804,268,101.121,161,102.111,157,-3.93022,218
"2022","UT Rio Grande Valley",72.8935,14,71.6529,15,97.2421,276,100.175,234,109.503,324,111.728,331,-11.5531,300
"2022","Utah",67.2067,230,66.0467,231,103.081,151,107.633,87,104.43,247,103.625,192,4.00793,120
"2022","Utah St.",67.272,222,66.6325,198,106.52,73,110.118,54,97.9307,79,96.98,64,13.1377,57
"2022","Utah Valley",67.4635,210,65.7016,250,101.292,195,102.951,181,95.748,42,98.4132,84,4.53799,116
"2022","UTEP",67.3495,219,66.4456,210,99.8947,219,100.764,221,99.312,110,100.498,125,0.265583,166
"2022","UTSA",68.989,118,68.5262,93,93.4793,332,94.5595,323,106.625,276,107.692,269,-13.1321,312
"2022","Valparaiso",65.4623,310,64.9499,288,101.547,187,102.967,179,105.247,257,105.37,225,-2.40314,200
"2022","Vanderbilt",69.1643,111,67.7537,123,101.843,179,107.216,94,97.4918,70,94.7784,38,12.4376,62
"2022","VCU",68.3795,164,68.3382,103,97.1639,278,100.897,218,90.4797,7,88.7129,6,12.1841,65
"2022","Vermont",65.1612,322,64.9249,289,114.506,8,110.738,44,92.9081,19,97.6996,73,13.038,58
"2022","Villanova",64.1915,342,62.5274,345,112.845,15,117.917,8,97.6798,73,93.8568,29,24.0606,11
"2022","Virginia",60.225,358,59.1903,357,103.991,130,106.992,97,100.059,136,97.1404,67,9.85182,84
"2022","Virginia Tech",63.4606,346,62.885,344,111.1,23,114.277,18,98.0541,82,96.349,54,17.9284,22
"2022","VMI",68.8845,126,68.402,99,110.273,31,110.811,42,110.2,330,110.288,306,0.522956,160
"2022","Wagner",67.9973,179,66.3771,214,105.759,92,102.115,194,94.1571,27,100.413,122,1.70125,151
"2022","Wake Forest",71.0192,47,69.9772,41,110.414,28,111.554,34,97.8886,78,96.5555,57,14.9989,37
"2022","Washington",70.4993,65,69.3554,60,99.3947,232,104.319,152,101.69,174,98.8442,96,5.47484,107
"2022","Washington St.",67.4255,215,66.0708,229,105.568,101,107.59,90,95.6631,40,93.8655,30,13.7245,50
"2022","Weber St.",70.6292,60,69.4016,57,106.11,81,103.645,167,100.977,156,103.986,201,-0.340822,174
