Season,TeamName,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate
2022,Georgia State,49.74508376,169,22.68282576,18,30.68720379,281,32.77494538,248
2022,Georgia Tech,50.11135857,183,18.8065267,149,28.1598513,181,31.45879733,214
2022,Gonzaga,43.15619968,1,16.92112628,268,23.01324503,21,22.16854536,16
2022,Grambling,48.86890951,125,19.28382793,118,31.43115942,307,40.77726218,346
2022,Grand Canyon,43.46764347,2,18.59330359,156,28.35004558,192,32.96703297,252
2022,Green Bay,53.03421562,303,18.19894149,187,28.5546416,205,31.69786959,222
2022,Hampton,47.32899023,59,16.61709601,282,31.4699793,310,37.85016287,329
2022,Hartford,51.6146394,254,16.47599378,290,28.37715322,195,28.90204521,142
2022,Harvard,52.10651828,271,20.6782529,53,23.79032258,34,32.59141494,243
2022,Hawaii,46.90111421,43,15.90235601,308,25.05694761,63,31.68523677,220
2022,High Point,49.52238806,155,17.74753385,220,30.20134228,263,35.28358209,293
2022,Hofstra,54.35779817,337,20.3678711,66,26.92692693,116,26.26146789,77
2022,Holy Cross,53.20512821,310,17.60130723,227,29.41798942,234,30.76923077,193
2022,Houston,43.52317141,3,21.70504709,30,27.33278282,141,35.06420994,290
2022,Houston Baptist,55.25210084,349,19.11377808,135,27.28410513,138,37.81512605,328
2022,Howard,49.4067238,150,23.49781362,11,34.49401523,353,33.94858273,268
2022,IUPUI,52.78380333,294,20.5546828,61,33.00852619,338,37.45480839,323
2022,Idaho,54.56100342,340,14.48007481,342,26.37913741,105,33.8654504,266
2022,Idaho State,53.2480315,312,16.68551462,280,27.54285714,153,35.17060367,292
2022,Illinois,46.33027523,31,15.57999707,324,25.84070796,75,28.44036697,127
2022,Illinois-Chicago,51.64670659,255,16.88795067,272,27.2066459,130,34.19161677,276
2022,Illinois State,50.91743119,220,17.36289595,236,29.81818182,246,31.89422558,228
2022,Incarnate Word,56.76646707,357,18.06799674,194,32.71334792,335,30,175
2022,Indiana,45.75617284,25,17.79283142,215,25.08090615,64,30.86419753,197
2022,Indiana State,51.67364017,257,15.82526481,312,22.52803262,14,26.18051405,70
2022,Iona,46.39037433,33,19.0020604,139,29.40670679,232,34.11764706,272
2022,Iowa,49.78703265,170,19.28381602,119,30.15748031,262,26.21864647,72
2022,Iowa State,48.38513102,108,24.55261852,6,28.54311199,204,36.25837904,307
2022,Jackson State,47.69372694,71,18.3839732,168,27.91164659,169,36.59286593,313
