Season,TeamName,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate
2022,Kennesaw State,51.8494898,97,17.4220034,114,28.73931624,154,29.71938776,193
2022,Kent State,49.71264368,189,18.70167236,207,31.06796117,78,32.52873563,108
2022,Kentucky,53.32850941,43,16.63355559,59,37.79946761,4,27.15870719,271
2022,LIU,48.40659341,251,18.46088805,186,30.55062167,97,30.38461538,172
2022,LSU,49.5150587,201,20.47854223,304,33.78492803,26,32.97600817,96
2022,La Salle,47.77158774,275,18.5740217,198,28.96613191,150,25.12534819,314
2022,Lafayette,50.6231454,143,16.45984697,53,22.34251969,331,20.9495549,357
2022,Lamar,44.473342,348,21.70061394,340,30,114,26.20286086,292
2022,Lehigh,52.08574739,81,19.20847433,233,21.48514851,342,25.14484357,312
2022,Liberty,55.52810377,16,17.97449024,141,22.18649518,333,28.35083385,241
2022,Lipscomb,52.30815348,77,18.95577773,222,22.66260163,320,33.87290168,74
2022,Little Rock,47.91200597,269,20.34486307,296,23.50835322,308,32.28933632,114
2022,Long Beach State,49.19401267,220,18.18107653,161,27.40247383,195,36.96027634,34
2022,Longwood,51.49906309,104,18.55365802,194,34.09326425,19,35.72767021,50
2022,Louisiana State,48.67629362,240,21.93917972,344,33.62487852,30,35.55956679,52
2022,Louisiana-Monroe,50.21498771,165,18.94645456,221,24.68879668,288,26.04422604,295
2022,Louisiana Tech,51.88261351,96,16.87470301,69,25.96685083,248,31.17386489,145
2022,Louisville,48.77789586,237,17.95060141,136,27.28828058,201,25.07970244,315
2022,Loyola (IL),56.28724672,7,18.34152007,175,25.13144059,278,31.94278903,125
2022,Loyola (MD),50.40073983,152,18.2123608,163,25.1565762,277,24.96917386,321
2022,Loyola Marymount,51.8904824,95,19.17167844,230,24.4173141,294,31.09517601,146
2022,Maine,46.85147159,302,19.41705242,248,24.01315789,297,20.39698836,358
2022,Manhattan,48.30721003,258,20.51584812,306,29.9591002,118,41.37931034,3
2022,Marist,50.40299367,151,18.25001537,166,26.51880424,233,24.98560737,320
2022,Marquette,52.57871878,66,17.29255099,102,22.36842105,330,26.81867535,277
2022,Marshall,49.40995382,208,18.07048819,150,27.25738397,203,24.32016419,328
2022,Maryland,49.36951754,210,16.92031818,75,27.2972973,199,33.88157895,73
2022,Maryland-Eastern Shore,45.96464258,329,21.88359658,342,27.67220903,184,31.82167563,128
2022,Massachusetts,51.28879537,116,16.56046691,58,29.33450088,137,32.77222514,101
2022,McNeese State,48.57224443,248,22.01682418,346,33.30316742,37,37.46430611,30
2022,Memphis,52.59301015,65,22.89753129,352,37.46369797,5,38.44419391,16
2022,Mercer,53.04477612,49,18.30775333,174,24.68619247,289,29.43283582,211
2022,Merrimack,48.63370202,243,18.46331896,187,22.49742002,326,25.95966168,298
2022,Miami (FL),54.15133999,26,14.17987643,8,23.41831917,310,28.8491855,225
2022,Miami (OH),50.27932961,161,14.98591969,20,25.96425212,249,23.68715084,336
2022,Michigan,52.31326644,75,17.10657564,89,31.15577889,77,28.92976589,222
2022,Michigan State,51.98966408,89,19.23295102,235,30.66546763,91,30.3875969,171
2022,Middle Tennessee,50.92385218,130,19.39270222,245,30.3286385,105,32.64277716,106
2022,Milwaukee,47.66301212,279,19.56607119,258,25.87017874,254,27.98615118,253
2022,Minnesota,50.67686875,139,13.95066721,6,17.72151899,356,23.60211889,337
2022,Mississippi,49.56140351,198,18.02725989,145,26.66666667,226,28.67324561,230
2022,Mississippi State,49.51219512,203,19.50060519,252,34.39201452,17,38.42818428,17
2022,Mississippi Valley State,44.52533489,347,18.07305127,151,23.48353553,309,31.39196273,138
2022,Missouri,47.0505618,296,21.64906039,339,31.39963168,73,29.88764045,185
2022,Missouri State,54.63059313,22,15.49484153,29,25.79737336,257,27.67950052,260
2022,Monmouth,47.46736292,284,17.31526397,104,29.38741722,134,36.91906005,35
2022,Montana,50.22727273,164,15.66452242,34,18.09317443,355,38.50649351,14
2022,Montana State,53.83076043,32,18.45733421,185,26.73956262,223,40.30874786,4
2022,Morehead State,52.42832066,71,20.36640031,297,30.70866142,90,28.96430661,220
2022,Morgan State,46.37834037,317,21.39676571,330,31.47321429,71,31.08298172,147
2022,Mount St. Mary's,48.61111111,245,20.05949404,286,30.97880928,81,26.2962963,291
2022,Murray State,52.93948127,52,17.12394413,92,35.53149606,11,31.06628242,150
2022,N.C. State,47.97094188,267,14.53511336,11,30.20833333,108,29.10821643,217
2022,NJIT,46.49350649,315,18.72285286,208,23.23943662,315,30.97402597,154
2022,Navy,47.48263889,282,19.85678295,274,33.82084095,23,30.78703704,157
2022,Nebraska,50.34666667,156,17.13007351,93,20.68361087,348,33.33333333,91
2022,Omaha,49.26253687,213,19.3049726,239,24.61685824,291,28.31858407,243
2022,Nevada,50.64027939,142,18.43155048,183,24.5320197,292,31.95576251,124
2022,New Hampshire,50.9252913,129,14.80677012,13,27.92792793,177,25.3598355,310
2022,New Mexico,49.4140625,207,16.11480054,42,24.00362319,298,32.75669643,102
2022,New Mexico State,52.23880597,79,20.68294163,313,33.15677966,41,35.44776119,53
2022,New Orleans,50.03078818,173,19.33494458,241,25.44132918,267,42.1182266,1
2022,Niagara,49.25140362,215,16.66644898,63,23.08499475,318,28.13474735,250
2022,Nicholls State,52.49861188,69,17.34888836,107,30.20134228,109,21.87673515,350
2022,Norfolk State,51.48809524,106,19.96873317,283,30,114,39.08730159,9
2022,North Alabama,43.24155194,355,17.04891971,87,25.53191489,263,23.84230288,333
2022,North Carolina,52.06057597,83,16.49511038,55,30.42350908,103,29.64250248,199
2022,North Carolina A&T,46.59624413,310,18.28837021,173,29.16283349,145,28.16901408,248
